"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
19;"Zespół Szkolno-Przedszkolny nr 21, ul. gen. Zygmunta Waltera Jankego 160, 40-613 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;1117;362;472
20;"Zespół Szkolno-Przedszkolny nr 21, ul. gen. Zygmunta Waltera Jankego 160, 40-613 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;600;369;303
21;"Zespół Szkół Ogólnokształcących nr 2, ul. gen. Zygmunta Waltera Jankego 65, 40-615 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;378;373;739
22;"Zespół Szkół Ogólnokształcących nr 2, ul. Spółdzielczości 21, 40-642 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;711;445;349
23;"Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 18, 40-648 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;785;428;323
24;"Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 18, 40-648 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;752;478;247
25;"Zespół Szkolno-Przedszkolny nr 22, ul. Stanisława Łętowskiego 24, 40-648 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;596;450;268
26;"Miejski Dom Kultury ""Południe"" Filia nr 3 w Zarzeczu, ul. Pawła Stellera 4, 40-748 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;1098;406;484
27;"Dom Katechetyczny, Katowice ul. Tadeusza Boya Żeleńskiego 34, 40-750 Katowice (wejście od ul. Migdałowców)";246901;"m. Katowice";"Katowice";"śląskie";1;1;784;268;303
28;"Dom Katechetyczny, Katowice ul. Tadeusza Boya Żeleńskiego 34, 40-750 Katowice (wejście od ul. Migdałowców)";246901;"m. Katowice";"Katowice";"śląskie";1;1;787;331;355
29;"Dom Katechetyczny, Katowice ul. Tadeusza Boya Żeleńskiego 34, 40-750 Katowice (wejście od ul. Migdałowców)";246901;"m. Katowice";"Katowice";"śląskie";1;1;811;334;364
30;"Zespół Szkolno-Przedszkolny nr 10, ul. Kazimierza Lepszego 2, 40-750 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;220;240;132
31;"Zespół Szkolno-Przedszkolny nr 10, ul. Kazimierza Lepszego 2, 40-750 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;294;322;225
32;"Szkoła Podstawowa nr 21, ul. Jacka Malczewskiego 2, 40-748 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;981;565;499
33;"Szkoła Podstawowa nr 21, ul. Jacka Malczewskiego 2, 40-748 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;413;191;189
34;"Szkoła Podstawowa nr 21, ul. Jacka Malczewskiego 2, 40-748 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;699;395;364
35;"Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Walerego Goetla 2, 40-749 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;491;434;218
